Camembert ,Country of origin, France
Camembert ,Region," Normandy, Camembert"
Camembert ,Family, Camembert
Camembert ,Type," soft, artisan, soft-ripened"
Camembert ,Fat content, 45%
Camembert ,Texture," chalky, runny, smooth, soft, soft-ripened and supple"
Camembert ,Rind, bloomy
Camembert ,Colour, pale yellow
Camembert ,Flavour," buttery, creamy, milky, sweet"
Camembert ,Aroma, earthy
Camembert ,Vegetarian,  no 
Camembert ,Synonyms," Camembert Le Châtelain, Camembert de Normandie PDO"
