Mimolette (Boule de Lille) ,Country of origin, France
Mimolette (Boule de Lille) ,Region, Lille 
Mimolette (Boule de Lille) ,Type, semi-hard
Mimolette (Boule de Lille) ,Fat content, 40%
Mimolette (Boule de Lille) ,Texture, firm
Mimolette (Boule de Lille) ,Rind, natural
Mimolette (Boule de Lille) ,Colour, orange
Mimolette (Boule de Lille) ,Flavour," buttery, caramel, nutty, salty"
Mimolette (Boule de Lille) ,Aroma, fruity
Mimolette (Boule de Lille) ,Vegetarian,  no 
Mimolette (Boule de Lille) ,Producers, Losfeld  
Mimolette (Boule de Lille) ,Synonyms," Boule de Lille  , vieux Hollande "
