Country of origin, Italy,Mozzarella 
,,
Region," Campania, Abruzzo, Molise and Puglia",Mozzarella 
,,
Type," semi-soft, brined",Mozzarella 
,,
Fat content,45%,Mozzarella 
,,
Calcium content, 403 mg/100g,Mozzarella 
,,
Texture," springy, stringy and supple",Mozzarella 
,,
Rind, rindless,Mozzarella 
,,
Colour, white,Mozzarella 
,,
Flavour, milky,Mozzarella 
,,
Aroma," fresh, milky",Mozzarella 
,,
Synonyms, mozerrela,Mozzarella 
,,
Country of origin, Italy,Mozzarella 
,,
Region," Campania, Abruzzo, Molise and Puglia",Mozzarella 
,,
Type," semi-soft, brined",Mozzarella 
,,
Fat content,45%,Mozzarella 
,,
Calcium content, 403 mg/100g,Mozzarella 
,,
Texture," springy, stringy and supple",Mozzarella 
,,
Rind, rindless,Mozzarella 
,,
Colour, white,Mozzarella 
,,
Flavour, milky,Mozzarella 
,,
Aroma," fresh, milky",Mozzarella 
,,
Synonyms, mozerrela,Mozzarella 
